Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
Handshake,4000000000.0,2021-05-12,Internet software & services,San Francisco,United States,North America,2014,43400000000.0,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures"
Highspot,4000000000.0,2021-02-22,Internet software & services,Seattle,United States,North America,2013,64300000000.0,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures"
Indigo Ag,4000000000.0,2017-09-26,Artificial intelligence,Boston,United States,North America,2014,1000000000.0,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Mirakl,4000000000.0,2020-09-22,E-commerce & direct-to-consumer,Paris,France,Europe,2011,94800000000.0,"Elaia Partners, 83North, Felix Capital"
Rec Room,4000000000.0,2021-03-23,Internet software & services,Seattle,United States,North America,2016,29400000000.0,"First Round Capital, Sequoia Capital, Index Ventures"
Tekion,4000000000.0,2020-10-21,Internet software & services,San Ramon,United States,North America,2016,43500000000.0,"Airbus Ventures, Index Ventures, Advent International"
Otto Bock HealthCare,4000000000.0,2017-06-24,Health,Duderstadt,Germany,Europe,1919,0.0,EQT Partners
Outreach,4000000000.0,2019-04-16,Internet software & services,Seattle,United States,North America,2011,48900000000.0,"Mayfield Fund, M12, Trinity Ventures"
WeRide,4000000000.0,2020-12-23,Auto & transportation,Guangzhou,China,Asia,2017,1000000000.0,"Atop Capital, IDInvest Partners, Qiming Venture Partners"
Applied Intuition,4000000000.0,2020-10-22,Data management & analytics,Sunnyvale,United States,North America,2017,35200000000.0,"Andreessen Horowitz, Lux Capital, General Catalyst"
Course Hero,4000000000.0,2020-02-12,Edtech,Redwood City,United States,North America,2006,47700000000.0,"NewView Capital, Maveron, Ridge Ventures"
Relativity,4000000000.0,2021-03-18,Internet software & services,Chicago,United States,North America,2001,12500000000.0,"Silver Lake, ICONIQ Capital"
Whoop,4000000000.0,2020-10-28,E-commerce & direct-to-consumer,Boston,United States,North America,2012,40400000000.0,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
Arctic Wolf Networks,4000000000.0,2020-10-22,Cybersecurity,Eden Prairie,United States,North America,2012,49800000000.0,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
GOAT,4000000000.0,2020-09-23,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,49300000000.0,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Noom,4000000000.0,2021-05-24,Health,New York,United States,North America,2006,65700000000.0,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
Papaya Global,4000000000.0,2021-03-04,Internet software & services,New York,United States,North America,2016,44000000000.0,"Bessemer Venture Partners, Insight Partners, New Era Ventures"
Redwood Materials,4000000000.0,2021-07-28,Other,Carson City,United States,North America,2017,79200000000.0,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
ShareChat,4000000000.0,2021-04-08,Internet software & services,Bengaluru,India,Asia,2015,1000000000.0,"India Quotient, Elevation Capital, Lightspeed Venture Partners"
Sorare,4000000000.0,2021-09-21,E-commerce & direct-to-consumer,Paris,France,Europe,2019,73900000000.0,"Benchmark, Accel, SoftBank Group"
VAST Data,4000000000.0,2020-04-16,Data management & analytics,New York,United States,North America,2016,26300000000.0,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Articulate,4000000000.0,2021-07-01,Edtech,New York,United States,North America,2015,2000000000.0,"Blackstone, ICONIQ Growth, General Atlantic"
Dutchie,4000000000.0,2021-03-16,E-commerce & direct-to-consumer,Bend,United States,North America,2017,60300000000.0,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
FalconX,4000000000.0,2021-08-10,Fintech,San Mateo,United States,North America,2018,32400000000.0,"Tiger Global Management, American Express Ventures, B Capital Group"
Guild Education,4000000000.0,2019-11-13,Internet software & services,Denver,United States,North America,2015,37900000000.0,"General Atlantic, Blackstone, ICONIQ Growth"
Chainalysis,4000000000.0,2020-11-23,Fintech,New York,United States,North America,2014,36700000000.0,"Addition, Benhcmark, Accel"
dbt Labs,4000000000.0,2021-06-30,Data management & analytics,Philadelphia,United States,North America,2016,41400000000.0,"Andreessen Horowitz, Amplify Partners, Sequoia Capital"
Globalization Partners,4000000000.0,2022-01-24,Internet software & services,Boston,United States,North America,2012,35000000000.0,"Vista Equity Partners, Wincove, TDR Capital"
Intarcia Therapeutics,4000000000.0,2014-04-01,Health,Boston,United States,North America,1995,1000000000.0,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Relativity Space,4000000000.0,2020-11-23,Other,Inglewood,United States,North America,2016,1000000000.0,"Playground Global, Bond, Tribe Capital"
StockX,4000000000.0,2019-06-26,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,49500000000.0,"Google Ventures, Battery Ventures, DST Global"
ThoughtSpot,4000000000.0,2018-05-08,Internet software & services,Sunnyvale,United States,North America,2012,66400000000.0,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
BitPanda,4000000000.0,2021-03-16,Fintech,Vienna,Austria,Europe,2014,54600000000.0,"Speedinvest, Valar Ventures, Uniqa Ventures"
Dataminr,4000000000.0,2018-06-04,Artificial intelligence,New York,United States,North America,2009,1000000000.0,"Venrock, Institutional Venture Partners, Goldman Sachs"
Weee!,4000000000.0,2021-03-16,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,86400000000.0,"Goodwater Capital, iFly, XVC Venture Capital"
Medlinker,4000000000.0,2018-07-31,Health,Chengdu,China,Asia,2014,76100000000.0,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Hozon Auto,4000000000.0,2022-02-22,Auto & transportation,Shanghai,China,Asia,2014,2000000000.0,"HD Capital, Qihoo 360 Technology, China Fortune Land Development"
Aurora Solar,4000000000.0,2021-05-24,Internet software & services,San Francisco,United States,North America,2013,52300000000.0,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital"
Branch,4000000000.0,2018-09-10,Mobile & telecommunications,Redwood City,United States,North America,2014,66700000000.0,"New Enterprise Associates, Pear, Cowboy Ventures"
BrowserStack,4000000000.0,2021-06-16,Internet software & services,Dublin,Ireland,Europe,2011,25000000000.0,"Accel, Insight Partners, Bond Capital"
Cerebras Systems,4000000000.0,2018-11-14,Hardware,Los Altos,United States,North America,2016,72000000000.0,"Benchmark, Foundation Capital, Sequoia Capital"
ClickUp,4000000000.0,2020-12-15,Internet software & services,San Diego,United States,North America,2017,53500000000.0,"Georgian Partners, Craft Ventures"
Clubhouse,4000000000.0,2021-01-24,Mobile & telecommunications,San Francisco,United States,North America,2020,11000000000.0,"Andreessen Horowitz, TQ Ventures"
Farmers Business Network,4000000000.0,2020-08-03,Other,San Carlos,United States,North America,2014,87000000000.0,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
Houzz,4000000000.0,2014-09-30,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,61400000000.0,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
MEGVII,4000000000.0,2017-10-31,Artificial intelligence,Beijing,China,Asia,2011,1000000000.0,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Melio,4000000000.0,2021-01-25,Fintech,New York,United States,North America,2018,50400000000.0,"Accel, Aleph, American Express Ventures"
Next Insurance,4000000000.0,2019-10-07,Fintech,Palo Alto,United States,North America,2016,88100000000.0,"Zeev Ventures, Ribbit Capital, TLV Partners"
Olive,4000000000.0,2020-12-01,Internet software & services,Columbus,United States,North America,2012,85600000000.0,"Drive Capital, General Catalyst, Ascension Ventures"
Patreon,4000000000.0,2020-09-02,Internet software & services,San Francisco,United States,North America,2013,41300000000.0,"Index Ventures, Thrive Capital, CRV"
PointClickCare,4000000000.0,2021-01-07,Internet software & services,Mississauga,Canada,North America,2000,23000000000.0,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity"
Rubrik,4000000000.0,2017-04-28,Data management & analytics,Palo Alto,United States,North America,2014,55300000000.0,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Vuori,4000000000.0,2021-10-13,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,44500000000.0,"SoftBank Group, Norwest Venture Partners"
Webflow,4000000000.0,2021-01-13,Internet software & services,San Francisco,United States,North America,2012,33500000000.0,"Accel, Silversmith Capital Partners, capitalG"
Yuga Labs,4000000000.0,2022-03-22,Fintech,Miami,United States,North America,2021,45000000000.0,"Andreessen Horowitz, Thrive Capital, Sound Ventures"
Zapier,4000000000.0,2021-01-14,Internet software & services,Sunnyvale,United States,North America,2011,100000000.0,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
Dadi Cinema,3000000000.0,2016-05-11,Other,Shenzhen,China,Asia,2006,15400000000.0,Alibaba Pictures Group
Kurly,3000000000.0,2021-07-09,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,77000000000.0,"Sequoia Capital China, DST Global, DST Global"
Moglix,3000000000.0,2021-05-17,E-commerce & direct-to-consumer,,Singapore,Asia,2015,47100000000.0,"Jungle Ventures, Accel, Venture Highway"
OpenAI,3000000000.0,2019-07-22,Artificial intelligence,San Francisco,United States,North America,2015,1000000000.0,Khosla Ventures
Upstox,3000000000.0,2021-11-29,Fintech,Mumbai,India,Asia,2010,5400000000.0,"Tiger Global Management, Kalaari Capital"
Vista Global,3000000000.0,2017-08-23,Other,Dubai,United Arab Emirates,Asia,2004,41800000000.0,Rhone Capital
Yixia,3000000000.0,2015-11-24,Mobile & telecommunications,Beijing,China,Asia,2011,77500000000.0,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Automattic,3000000000.0,2013-05-27,Internet software & services,San Francisco,United States,North America,2005,85900000000.0,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
OakNorth Bank,3000000000.0,2017-10-12,Fintech,London,United Kingdom,Europe,2015,1000000000.0,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Worldcoin,3000000000.0,2021-06-29,Fintech,San Francisco,United States,North America,2019,12500000000.0,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
Hive Box,3000000000.0,2018-01-23,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,1000000000.0,"Eastern Bell Capital, SF Holding Co, STO Express"
Trax,3000000000.0,2019-07-22,Artificial intelligence,,Singapore,Asia,2010,1000000000.0,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
MessageBird,3000000000.0,2020-10-08,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,1000000000.0,"Y Combinator, Atomico, Accel"
Cohesity,3000000000.0,2018-06-11,Data management & analytics,San Jose,United States,North America,2013,66000000000.0,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Cybereason,3000000000.0,2019-08-06,Cybersecurity,Boston,United States,North America,2012,71400000000.0,"SoftBank Group, CRV, Spark Capital"
A24 Films,3000000000.0,2022-03-09,Other,New York,United States,North America,2012,22500000000.0,"Stripes Group, Neuberger Berman"
Acronis,3000000000.0,2019-09-18,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,40800000000.0,"Goldman Sachs, VebVentures, Insight Partners"
Aura,3000000000.0,2021-06-09,Cybersecurity,Burlington,United States,North America,2019,50000000000.0,"Warburg Pincus, General Catalyst"
BYTON,3000000000.0,2018-04-20,Auto & transportation,Nanjing,China,Asia,2016,1000000000.0,"FAW Group, Tencent Holdings, Tus Holdings"
Cato Networks,3000000000.0,2020-11-17,Cybersecurity,Tel Aviv,Israel,Asia,2015,53200000000.0,"Aspect Ventures, SingTel Innov8, Greylock Partners"
Digit Insurance,3000000000.0,2021-01-15,Fintech,Bengaluru,India,Asia,2016,53100000000.0,"Fairfax Financial Holdings, A91 Partners, TVS Capital"
Fetch Rewards,3000000000.0,2021-03-31,E-commerce & direct-to-consumer,Madison,United States,North America,2014,58200000000.0,"Greycroft, Loeb.NYC, DST Global"
Games24x7,3000000000.0,2022-03-30,Internet software & services,Mumbai,India,Asia,2006,7500000000.0,"Tiger Global Management, The Raine Group, Malabar Investments"
GoStudent,3000000000.0,2021-06-22,Edtech,Vienna,Austria,Europe,2017,68500000000.0,"DN Capital, Left Lane Capital, Coatue Management"
Immutable,3000000000.0,2022-03-07,Fintech,Sydney,Australia,Oceania,2018,28000000000.0,"Fabric Ventures, AirTree Ventures, Temasek"
Infra.Market,3000000000.0,2021-02-25,E-commerce & direct-to-consumer,Thane,India,Asia,2016,27400000000.0,"Accel, Tiger Global Management, Nexus Venture Partners"
Side,3000000000.0,2021-03-22,Internet software & services,San Francisco,United States,North America,2017,31400000000.0,"Coatue Managemeny, Trinity Ventures, Matrix Partners"
SiFive,3000000000.0,2022-03-16,Hardware,San Mateo,United States,North America,2015,36600000000.0,"Sutter Hill Ventures, Osage University Partners, Spark Capital"
Somatus,3000000000.0,2022-02-23,Health,McLean,United States,North America,2016,46500000000.0,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital"
Sysdig,3000000000.0,2021-04-28,Cybersecurity,San Francisco,United States,North America,2013,73000000000.0,"Accel, Bain Capital Ventures, Insight Partners"
Uniphore,3000000000.0,2022-02-16,Artificial Intelligence,Palo Alto,United States,North America,2008,60700000000.0,"Chiratae Ventures, March Capital Partners, National Grid Partners"
Varo Bank,3000000000.0,2021-09-09,Fintech,San Francisco,United States,North America,2015,98700000000.0,"Warburg Pincus, The Rise Fund, HarbourVest Partners"
Vercel,3000000000.0,2021-06-23,Internet software & services,San Francisco,United States,North America,2015,31300000000.0,"CRV, Accel, Google Ventures"
Oura,3000000000.0,2022-04-05,Health,Oulu,Finland,Europe,2013,14800000000.0,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
Unacademy,3000000000.0,2020-09-02,Edtech,Bengaluru,India,Asia,2015,78900000000.0,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India"
Axonius,3000000000.0,2021-03-01,Cybersecurity,New York,United States,North America,2017,39500000000.0,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
Clari,3000000000.0,2021-03-03,Internet software & services,Sunnyvale,United States,North America,2012,49600000000.0,"Sequoia Capital, Bain Capital Ventures, enaya Capital"
ManoMano,3000000000.0,2021-07-05,E-commerce & direct-to-consumer,Paris,France,Europe,2013,70600000000.0,"General Atlantic, Piton Capital, Partech Partners"
Pendo,3000000000.0,2019-10-17,Internet software & services,Raleigh,United States,North America,2013,35700000000.0,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
Plume,3000000000.0,2021-02-23,Internet software & services,Palo Alto,United States,North America,2015,72200000000.0,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
JumpCloud,3000000000.0,2021-09-13,Data management & analytics,Louisville,United States,North America,2012,40700000000.0,"Foundry Group, General Atlantic, BlackRock"
Project44,3000000000.0,2021-06-01,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,81800000000.0,"Emergence Capital Partners, 8VC, Chicago Ventures"
Sourcegraph,3000000000.0,2021-07-13,Internet software & services,San Francisco,United States,North America,2013,24800000000.0,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
OwnBackup,3000000000.0,2021-01-28,Data management & analytics,Englewood Cliffs,United States,North America,2015,50700000000.0,"Insight Partners, Salesforce Ventures, Vertex Ventures"
Starburst,3000000000.0,2021-01-06,Data management & analytics,Boston,United States,North America,1999,41400000000.0,"Index Ventures, Coatue Management, Andreessen Horowitz"
Youxia Motors,3000000000.0,2018-04-02,Auto & transportation,Shanghai,China,Asia,2014,1000000000.0,"China Environmental Protection Industry, China Fortune Ocean"
Zetwerk,3000000000.0,2021-08-20,Internet software & services,Bengaluru,India,Asia,2018,54300000000.0,"Sequoia Capital India, Kae Capital, Accel"
Cars24,3000000000.0,2020-11-24,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,1000000000.0,"Moore Strategic Ventures, DST Global, Sequoia Capital India"
Ethos,3000000000.0,2021-05-11,Fintech,San Francisco,United States,North America,2016,40700000000.0,"Sequoia Capital, Google Ventures, Accel"
Komodo Health,3000000000.0,2020-05-22,Health,San Francisco,United States,North America,2014,31400000000.0,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
Nextiva,3000000000.0,2021-09-14,Internet software & services,Scottsdale,United States,North America,2008,20000000000.0,Goldman Sachs Asset Management
o9 Solutions,3000000000.0,2020-04-28,Artificial intelligence,Dallas,United States,North America,2009,41700000000.0,KKR
Scopely,3000000000.0,2019-10-29,Mobile & telecommunications,Culver City,United States,North America,2011,99900000000.0,"Greycroft, Sands Capital, Revolution Growth"
Sila Nanotechnologies,3000000000.0,2019-04-16,Other,Alameda,United States,North America,2011,88000000000.0,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Via,3000000000.0,2020-03-30,Auto & transportation,New York,United States,North America,2012,77700000000.0,"83North, RiverPark Ventures, Pitango Venture Capital"
Transmit Security,3000000000.0,2021-06-22,Cybersecurity,Tel Aviv,Israel,Asia,2014,58300000000.0,"General Atlantic, Insight Partners, Vintage Investment Partners"
BlockDaemon,3000000000.0,2021-09-21,Fintech,Los Angeles,United States,North America,2016,39800000000.0,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
Convoy,3000000000.0,2018-09-21,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,66600000000.0,"Greylock Partners, capitalG, Y Combinator"
Dream Games,3000000000.0,2021-06-30,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,46800000000.0,"Makers Fund, Index Ventures, Inova Ventures Participacees"
Illumio,3000000000.0,2015-04-14,Cybersecurity,Sunnyvale,United States,North America,2013,55800000000.0,"Data Collective, Formation 8, General Catalyst Partners"
MasterClass,3000000000.0,2021-05-13,Edtech,San Francisco,United States,North America,2015,46100000000.0,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
Graphcore,3000000000.0,2018-12-18,Artificial intelligence,Bristol,United Kingdom,Europe,2016,68200000000.0,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
ApplyBoard,3000000000.0,2020-05-05,Edtech,Kitchener,Canada,North America,2015,48300000000.0,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
Blockstream,3000000000.0,2021-08-24,Fintech,Vancouver,Canada,North America,2014,29900000000.0,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital"
Cedar,3000000000.0,2021-03-09,Fintech,New York,United States,North America,2016,32600000000.0,"Thrive Capital, Founders Fund, Cocnord Health Partners"
ContentSquare,3000000000.0,2021-05-25,Internet software & services,Paris,France,Europe,2012,81200000000.0,"Highland Europe, Eurazeo, Canaan Partners"
Eruditus Executive Education,3000000000.0,2021-08-12,Edtech,Mumbai,India,Asia,2010,59100000000.0,"Sequoia Capital India, Softbank, Bertelsmann India Investments"
Innovaccer,3000000000.0,2021-02-19,Health,San Francisco,United States,North America,2014,37900000000.0,"M12, WestBridge Capital, Lightspeed Venture Partners"
Ironclad,3000000000.0,2022-01-18,Internet software & services,Sacramento,United States,North America,2014,33400000000.0,"Accel, Sequoia Capital, Y Combinator"
Skims,3000000000.0,2021-04-09,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,39900000000.0,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
Thumbtack,3000000000.0,2015-09-29,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,69800000000.0,"Tiger Global, Sequoia Capital, Google Capital"
Zipline,3000000000.0,2019-05-20,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,48300000000.0,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
BharatPe,3000000000.0,2021-07-30,Fintech,New Delhi,India,Asia,2018,60000000000.0,"Insight Partners, Sequoia Capital India, BEENEXT"
DriveWealth,3000000000.0,2021-08-20,Fintech,Chatham,United States,North America,2012,55100000000.0,"Point72 Ventures, Route 66 Ventures, Accel"
Flink Food,3000000000.0,2021-12-01,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,1000000000.0,"Mubadala Capital, Bond, Prosus Ventures"
PsiQuantum,3000000000.0,2021-07-27,Hardware,Palo Alto,United States,North America,2016,66500000000.0,"Playground Global, M12, BlackRock"
SpotOn,3000000000.0,2021-05-26,Fintech,San Francisco,United States,North America,2017,62800000000.0,"Dragoneer Investment Group, DST Global, Franklin Templeton"
Gorillas,3000000000.0,2021-03-25,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,1000000000.0,"Coatue Management, Atlantic Food Labs, DST Global"
HighRadius,3000000000.0,2020-01-07,Fintech,Houston,United States,North America,2006,47500000000.0,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
Loft,3000000000.0,2020-01-03,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,78800000000.0,"Monashees+, Andreessen Horowitz, QED Investors"
Nuvemshop,3000000000.0,2021-08-17,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,62800000000.0,"Kaszek Ventures, Qualcomm Ventures, Accel"
Udaan,3000000000.0,2018-09-04,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,1000000000.0,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Workrise,3000000000.0,2019-09-30,Internet software & services,Austin,United States,North America,2014,72200000000.0,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
ActiveCampaign,3000000000.0,2021-04-21,Internet software & services,Chicago,United States,North America,2003,36000000000.0,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
Age of Learning,3000000000.0,2016-05-03,Edtech,Glendale,United States,North America,2007,50000000000.0,Iconiq Capital
Amber Group,3000000000.0,2021-06-21,Fintech,,Hong Kong,Asia,2015,32800000000.0,"Tiger Global Management, Tiger Brokers, DCM Ventures"
Anchorage Digital,3000000000.0,2021-12-15,Fintech,San Francisco,United States,North America,2017,48700000000.0,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
BlockFi,3000000000.0,2021-03-11,Fintech,Jersey City,United States,North America,2017,1000000000.0,"ConsenSys Ventures, Valar Ventures, PUC"
Calendly,3000000000.0,2021-01-26,Internet software & services,Atlanta,United States,North America,2013,35100000000.0,"ICONIQ Capital, OpenView Venture Partners"
Carbon Health,3000000000.0,2021-07-21,Health,San Francisco,United States,North America,2015,52300000000.0,"Brookfield Asset Management, Blackstone, Data Collective"
Circle,3000000000.0,2018-05-15,Fintech,Boston,United States,North America,2013,71100000000.0,"General Catalyst, Digital Currency Group, Accel"
CMR Surgical,3000000000.0,2019-09-17,Health,Cambridge,United Kingdom,Europe,2014,97500000000.0,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
Contentful,3000000000.0,2021-07-28,Internet software & services,Berlin,Germany,Europe,2013,33300000000.0,"Balderton Capital, General Catalyst, Tiger Global Management"
Cross River Bank,3000000000.0,2022-02-11,Fintech,Fort Lee,United States,North America,2008,77500000000.0,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
Delhivery,3000000000.0,2019-02-27,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,1000000000.0,"Times Internet, Nexus Venture Partners, SoftBank Group"
FlixBus,3000000000.0,2019-07-18,Auto & transportation,Munich,Germany,Europe,2013,1000000000.0,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
Flutterwave,3000000000.0,2021-03-09,Fintech,San Francisco,United States,North America,2016,47400000000.0,"Green Visor Capital, CRE Venture Capital, Greycroft"
Forter,3000000000.0,2020-11-19,Cybersecurity,New York,United States,North America,2013,52500000000.0,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
Grafana Labs,3000000000.0,2021-03-25,Internet software & services,New York,United States,North America,2014,53500000000.0,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
Groww,3000000000.0,2021-04-07,Fintech,Bengaluru,India,Asia,2017,39300000000.0,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
Inxeption,3000000000.0,2022-01-13,Fintech,San Francisco,United States,North America,2017,18700000000.0,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
KK Group,3000000000.0,2019-10-23,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,61200000000.0,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
Lattice,3000000000.0,2021-03-23,Internet software & services,San Francisco,United States,North America,2015,32900000000.0,"Khosla Ventures, Thrive Capital, Y Combinator"
LaunchDarkly,3000000000.0,2021-08-10,Internet software & services,Oakland,United States,North America,2014,33000000000.0,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
Lucid,3000000000.0,2021-06-29,Internet software & services,South Jordan,United States,North America,2010,17000000000.0,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
Outschool,3000000000.0,2021-04-14,Edtech,San Francisco,United States,North America,2015,24000000000.0,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
Podium,3000000000.0,2020-04-07,Internet software & services,Lehi,United States,North America,2014,41900000000.0,"Accel, Summit Partners, Google Ventures"
Remote,3000000000.0,2021-07-13,Fintech,San Francisco,United States,North America,2016,49600000000.0,"Index Ventures, Sequoia Capital, General Catalyst"
Seismic,3000000000.0,2018-12-18,Internet software & services,San Diego,United States,North America,2010,42700000000.0,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
Sky Mavis,3000000000.0,2021-10-04,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,31100000000.0,"Fabric Ventures, 500 Global, Standard Crypto"
SouChe Holdings,3000000000.0,2017-11-01,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,1000000000.0,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
TradingView,3000000000.0,2021-10-14,Fintech,Westerville,United States,North America,2011,33900000000.0,"Tiger Global Management, Insight Partners, Jump Capital"
Traveloka,3000000000.0,2017-01-01,Travel,Jakarta,Indonesia,Asia,2012,1000000000.0,"Global Founders Capital, East Ventures, Expedia Inc."
wefox,3000000000.0,2019-03-05,Fintech,Berlin,Germany,Europe,2014,91900000000.0,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Wildlife Studios,3000000000.0,2019-12-05,Other,Sao Paulo,Brazil,South America,2011,18000000000.0,"Benchmark, Bessemer Venture Partners"
1047 Games,2000000000.0,2021-09-14,Internet software & services,Zephyr Cove,United States,North America,2017,12700000000.0,"VGames, Lakestar, Galaxy Interactive"
Baiwang,2000000000.0,2019-03-25,Fintech,Beijing,China,Asia,2015,22400000000.0,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
Boba,2000000000.0,2022-04-05,Fintech,San Francisco,United States,North America,2018,4500000000.0,"DeFi Technologies, Hypersphere Ventures, M13"
Bought By Many,2000000000.0,2021-06-01,Fintech,London,United Kingdom,Europe,2012,47700000000.0,"Octopus Ventures, Munich Re Ventures, CommerzVentures"
Cambridge Mobile Telematics,2000000000.0,2018-12-19,Mobile & telecommunications,Cambridge,United States,North America,2010,50300000000.0,SoftBank Group
Carzone,2000000000.0,2019-03-01,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,94600000000.0,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital"
CFGI,2000000000.0,2021-09-15,Fintech,Boston,United States,North America,2000,1900000000.0,"The Carlyle Group, CVC Capital Partners"
Cgtz,2000000000.0,2017-02-21,Fintech,Hangzhou,China,Asia,2014,53600000000.0,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Changingedu,2000000000.0,2017-10-30,Edtech,Shanghai,China,Asia,2014,18800000000.0,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
eDaili,2000000000.0,2019-02-01,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,10100000000.0,"K2VC, Lightspeed China Partners, Sky9 Capital"
